name|type|low|high|elementary_school|middle_school|high_school
Daisy|Ct|30400|30449|Castaic Elem|Castaic MS|Castaic HS
Daisy Meadow|St|14604|14848|Pinetree|Sierra Vista JH|Canyon HS
Dakota|Dr|29202|29413|Tesoro Del Valle|Rio Norte JH|Valencia HS
Dakotah|Ct|29400|29426|Mint Cyn|La Mesa JH|Golden Valley HS
Dalbey|Dr|23000|23498|Newhall|Placerita JH|Hart HS
Dalgo|Dr|24100|24325|Meadows|Placerita JH|Hart HS
Dalton|St|19100|19133|Golden Oak|La Mesa JH|Golden Valley HS
Damar|Ct|28005|28026|Leona Cox|Sierra Vista JH|Canyon HS
Dan|Ct|20701|20873|Bouquet Cyn|Arroyo Seco JH|Saugus HS
Dana|Ct|29506|29526|Mint Cyn|La Mesa JH|Golden Valley HS
Dandelion|Dr|27800|27834|Rosedell|Arroyo Seco JH|Saugus HS
Dandelion|Ln|24007|24504|Bridgeport|Rio Norte JH|Valencia HS
Daniel|Dr|19300|19300|Fair Oaks|La Mesa JH|Golden Valley HS
Danielson|St|12811|18199|Fair Oaks|La Mesa JH|Golden Valley HS
Danny|Wy|0|0|Rosedell|Arroyo Seco JH|Saugus HS
Danton|Ct|27600|27620|Helmers|Rio Norte JH|Valencia HS
Danvers|Pl|28000|28044|Live Oak|Castaic MS|Castaic HS
Darbun|Dr|23900|23951|Wiley Cyn|Rancho Pico JH|West Ranch HS
Darcy|Ln|23400|23463|Wiley Cyn|Rancho Pico JH|West Ranch HS
Dario|Av|29900|29999|Mint Cyn|La Mesa JH|Golden Valley HS
Darla|Ct|19911|19939|Skyblue Mesa|Arroyo Seco JH|Saugus HS
Darrin|Ct|19808|19841|Darrow|Arroyo Seco JH|Saugus HS
Darter|Dr|18800|18891|Leona Cox|Sierra Vista JH|Canyon HS
Davenport|Rd|14250|14333|Mint Cyn|La Mesa JH|Golden Valley HS
Davey|Av|23140|23199|Peachland|Placerita JH|Hart HS
David|Wy|28624|28646|Bouquet Cyn|Arroyo Seco JH|Saugus HS
Dawkins|Av|29050|30299|Live Oak|Castaic MS|Castaic HS
Day Lily|Dr|24338|24339|Mc Grath|La Mesa JH|Golden Valley HS
Daydream|Wy|28002|28075|Northpark|Rio Norte JH|Valencia HS
De La Guerra||0|0|Bridgeport|Rio Norte JH|Valencia HS
De La Vina|Wy|28100|28129|Bridgeport|Rio Norte JH|Valencia HS
De Quincy|Pl|25800|25851|Stevenson Ranch|Rancho Pico JH|West Ranch HS
De Wolfe|Rd|25000|25265|Wiley Cyn|Rancho Pico JH|West Ranch HS
Dead Horse|Cyn|0|0|Oak Hills|Rancho Pico JH|West Ranch HS
Deana|Ln|17800|17999|Fair Oaks|La Mesa JH|Golden Valley HS
Dearborn|Dr|24031|27409|Bridgeport|Rio Norte JH|Valencia HS
Decoro|Dr|22635|22835|Santa Clarita|Arroyo Seco JH|Saugus HS
Decoro|Dr|23961|23961|Helmers|Rio Norte JH|Valencia HS
Decoro|Rd|22500|22633|Santa Clarita|Arroyo Seco JH|Saugus HS
Dedre|Ln|0|0|Skyblue Mesa|Arroyo Seco JH|Saugus HS
Deed|Av|30523|30561|Live Oak|Castaic MS|Castaic HS
Deena|Pl|21849|21879|Emblem|Rio Norte JH|Valencia HS
Deep Creek|Dr|28000|28129|Mitchell|Sierra Vista JH|Canyon HS
Deeptree|Av|27503|27569|Cedarcreek|Sierra Vista JH|Canyon HS
Deer|Ct|28250|28246|Leona Cox|Sierra Vista JH|Canyon HS
Deer Creek|Ln|26401|26421|Sulphur Springs|Sierra Vista JH|Canyon HS
Deer Springs|Dr|28500|28664|Bouquet Cyn|Arroyo Seco JH|Saugus HS
Deerfield|Ln|27601|27676|Helmers|Rio Norte JH|Valencia HS
Defoe|Wy|0|0|Stevenson Ranch|Rancho Pico JH|West Ranch HS
Degas|Ln|26800|26901|Bridgeport|Rancho Pico JH|West Ranch HS
Del Monte - All Numbers|Dr|23500|24399|Valencia Valley|Placerita JH|Hart HS
Del Monte - All Numbers|Dr|25564|25587|Meadows|Placerita JH|Hart HS
Del Monte - Even Numbers|Dr|24000|25562|Meadows|Placerita JH|Hart HS
Del Monte - Odd Numbers|Dr|24401|25563|Valencia Valley|Placerita JH|Hart HS
Del Monte - Odd Numbers|Dr|24589|24599|Meadows|Placerita JH|Hart HS
Del Valle|Rd|29000|29799|Live Oak|Castaic MS|Castaic HS
Delden|Rd|0|0|Golden Oak|La Mesa JH|Golden Valley HS
Delden||0|0|Mc Grath|Placerita JH|Hart HS
Delight|St|18500|19140|Leona Cox|Sierra Vista JH|Canyon HS
Delight|St|19301|19659|Cedarcreek|Sierra Vista JH|Canyon HS
Delight|St|20000|20463|Rio Vista|La Mesa JH|Golden Valley HS
Delight|St|27023|27023|Leona Cox|Sierra Vista JH|Canyon HS
Dell|Ct|31300|31320|Northlake Hills|Castaic MS|Castaic HS
Delphinium|Av|29600|29651|Pinetree|Sierra Vista JH|Canyon HS
Delwood|St|31000|31299|Live Oak|Castaic MS|Castaic HS
Denice|Pl|24400|24446|Wiley Cyn|Rancho Pico JH|West Ranch HS
Denise|Ln|21802|21829|Emblem|Rio Norte JH|Valencia HS
Denoya|Dr|27301|27461|Foster|Arroyo Seco JH|Saugus HS
Deodar|Pl|28800|29171|Mountain View|Rio Norte JH|Valencia HS
Deputy Jake|Dr|21615|21645|Mc Grath|La Mesa JH|Golden Valley HS
Derby|Pl|22700|22753|Newhall|Placerita JH|Hart HS
Derian|Dr|24400|24412|Peachland|Placerita JH|Hart HS
Desert|Av|24525|24699|Newhall|Placerita JH|Hart HS
Desert|Pl|27700|27771|Live Oak|Castaic MS|Castaic HS
Desert Rose|Dr|30000|30199|Live Oak|Castaic MS|Castaic HS
Desert Shadow|Rd|30700|31399|Castaic Elem|Castaic MS|Castaic HS
Devell|Rd|0|0|Sulphur Springs|Sierra Vista JH|Canyon HS
Devon|Ln|28050|28163|Rosedell|Arroyo Seco JH|Saugus HS
Devonshire|Ct|22600|22671|Newhall|Placerita JH|Hart HS
Dewdrop|Av|27302|27439|Canyon Springs|Sierra Vista JH|Canyon HS
Dexter|Dr|27800|27956|Foster|Arroyo Seco JH|Saugus HS
Diablo|Pl|29102|29149|Live Oak|Castaic MS|Castaic HS
Diamond|Ln|0|0|Northlake Hills|Castaic MS|Castaic HS
Diamond|Pl|26300|26399|Emblem|La Mesa JH|Golden Valley HS
Diamond Head||0|0|Mc Grath|La Mesa JH|Golden Valley HS
Diane Marie|Cr|27403|27596|Rosedell|Arroyo Seco JH|Saugus HS
Diaz|Dr|26600|26849|Emblem|Arroyo Seco JH|Saugus HS
Dickason|Ct|28056|28068|Bridgeport|Rio Norte JH|Valencia HS
Dickason|Dr|27931|28045|Bridgeport|Rio Norte JH|Valencia HS
Dickens|Ct|25800|25851|Pico Cyn|Rancho Pico JH|West Ranch HS
Discovery Ridge|Dr|29000|29503|Santa Clarita|Rio Norte JH|Valencia HS
Diver|St|16500|17001|Sulphur Springs|Sierra Vista JH|Canyon HS
Dockweiler|Dr|0|0|Mc Grath|La Mesa JH|Golden Valley HS
Dogwood|Ct|25000|25039|Wiley Cyn|Rancho Pico JH|West Ranch HS
Doherty|Av|27300|27499|Cedarcreek|Sierra Vista JH|Canyon HS
Dolan|Wy|18333|18333|Mint Cyn|La Mesa JH|Golden Valley HS
Dolce|Ct|25200|25230|Pico Cyn|Rancho Pico JH|West Ranch HS
Dolton|Dr|27400|27443|Cedarcreek|Sierra Vista JH|Canyon HS
Don Gee|Ct|21714|21764|Rosedell|Arroyo Seco JH|Saugus HS
Dorado|Dr|25600|25699|Meadows|Placerita JH|Hart HS
Dorothy|St|20000|20212|Skyblue Mesa|Sierra Vista JH|Canyon HS
Dorothy|St|20215|20356|Dot|Arroyo Seco JH|Saugus HS
Doubletree|Wy|27903|27936|Northlake Hills|Castaic MS|Castaic HS
Doug|Rd|15100|15125|Pinetree|Sierra Vista JH|Canyon HS
Dove|Ct|26530|26559|Rio Vista|La Mesa JH|Golden Valley HS
Dove|Ln|25300|25336|Pico Cyn|Rancho Pico JH|West Ranch HS
Dove Willow|St|12517|17516|Fair Oaks|La Mesa JH|Golden Valley HS
Dovehouse|St|27300|27349|Fair Oaks|La Mesa JH|Golden Valley HS
Doveweed|Wy|26402|26428|Rio Vista|La Mesa JH|Golden Valley HS
Dowell|Dr|28100|28114|Skyblue Mesa|Sierra Vista JH|Canyon HS
Doyle|Ct|25410|25489|Pico Cyn|Rancho Pico JH|West Ranch HS
Dragonfly|Ct|0|0|Emblem|Arroyo Seco JH|Saugus HS
Drake|Pl|0|0|Mint Cyn|La Mesa JH|Golden Valley HS
Drasin|Dr|19830|20156|Skyblue Mesa|Sierra Vista JH|Canyon HS
Drayton|St|0|0|Newhall|Placerita JH|Hart HS
Drayton|St|23000|23125|Emblem|Arroyo Seco JH|Saugus HS
Driftwood|Ct|0|0|Emblem|Arroyo Seco JH|Saugus HS
Driver|Av|29468|29849|Live Oak|Castaic MS|Castaic HS
Dry Creek|Ct|25410|25415|Newhall|Placerita JH|Hart HS
Dry Cyn|Rd|29160|29166|Northpark|Rio Norte JH|Valencia HS
Dry Well|Cr|28000|28099|Northlake Hills|Castaic MS|Castaic HS
Drycliff|St|19000|19235|Canyon Springs|Sierra Vista JH|Canyon HS
Drycliff|St|19304|20042|Cedarcreek|Sierra Vista JH|Canyon HS
Dubois|St|28903|28909|Live Oak|Castaic MS|Castaic HS
Duchess|Pl|26046|26065|Rio Vista|La Mesa JH|Golden Valley HS
Duke|Dr|0|0|Tesoro Del Valle|Rio Norte JH|Valencia HS
Dulce|Ln|0|0|Highlands|Arroyo Seco JH|Saugus HS
Dump|Rd|0|0|Live Oak|Castaic MS|Castaic HS
Dune|Ln|28900|29151|Pinetree|Sierra Vista JH|Canyon HS
Dunsmore|Pl|23524|23626|Helmers|Rio Norte JH|Valencia HS
Dupont|Pl|0|0|Castaic Elem|Castaic MS|Castaic HS
Durant|Pl|25500|25543|Stevenson Ranch|Rancho Pico JH|West Ranch HS
Durham|Pl|28015|28025|Rosedell|Arroyo Seco JH|Saugus HS
Dusty Willow|Ct|17400|17442|Fair Oaks|La Mesa JH|Golden Valley HS
Duxbury|Pl|27300|27329|Helmers|Rio Norte JH|Valencia HS
Eagle|Ln|25400|25445|Oak Hills|Rancho Pico JH|West Ranch HS
Eagle Peak|Av|28000|28126|Mitchell|Sierra Vista JH|Canyon HS
Eaglecrest|Av|28003|28017|Leona Cox|Sierra Vista JH|Canyon HS
Eaglehelm|Dr|27300|27351|Sulphur Springs|Sierra Vista JH|Canyon HS
Eagles Crest|Ct|28100|28119|Skyblue Mesa|Sierra Vista JH|Canyon HS
Earnway|St|0|0|Mint Cyn|La Mesa JH|Golden Valley HS
East|Rd|0|0|Valencia Valley|Placerita JH|Hart HS
Eastern Pines|Ct|17450|17475|Fair Oaks|La Mesa JH|Golden Valley HS
Easton|Ln|28301|28363|Rosedell|Arroyo Seco JH|Saugus HS
Ebb|Ct|28150|28166|Plum Cyn|Arroyo Seco JH|Saugus HS
Ebelden|Av|24501|24724|Wiley Cyn|Rancho Pico JH|West Ranch HS
Echilman|ALLE|31500|31561|Northlake Hills|Castaic MS|Castaic HS
Eddie|Ln|20040|28008|Skyblue Mesa|Arroyo Seco JH|Saugus HS
Edelweiss|Ct|24216|24238|Bridgeport|Rio Norte JH|Valencia HS
Eden|Ct|27000|27122|Rio Vista|La Mesa JH|Golden Valley HS
Edenton|Pl|23000|23049|Helmers|Rio Norte JH|Valencia HS
Edgehurst|Ln|19544|19861|Plum Cyn|Arroyo Seco JH|Saugus HS
Edgeview|Pl|14500|14599|Sulphur Springs|Sierra Vista JH|Canyon HS
Edgewater|Dr|20050|20299|Cedarcreek|Sierra Vista JH|Canyon HS
Edgewater|Ln|27000|27051|Bridgeport|Rio Norte JH|Valencia HS
Edison|Rd|0|0|Wiley Cyn|Rancho Pico JH|West Ranch HS
Edison|Rd|0|0|Live Oak|Castaic MS|Castaic HS
Edison|Rd|24100|24399|Peachland|Placerita JH|Hart HS
Edison Potrero|Rd|0|0|Oak Hills|Rancho Pico JH|West Ranch HS
Edmonds|Pl|19602|19778|Plum Cyn|Arroyo Seco JH|Saugus HS
Egret|Pl|19900|20049|Rio Vista|La Mesa JH|Golden Valley HS
El Corazon|Dr|0|0|West Creek|Rio Norte JH|Valencia HS
El Dorado|Ct|18601|18631|Leona Cox|Sierra Vista JH|Canyon HS
El Gato|Pl|25800|25854|Valencia Valley|Placerita JH|Hart HS
El Molina|Av|24300|24449|Bridgeport|Rio Norte JH|Valencia HS
El Paseo|Dr|23500|24099|Valencia Valley|Placerita JH|Hart HS
El Toro Fire Truck|Trl|0|0|Pico Cyn|Rancho Pico JH|West Ranch HS
Elder Creek|Dr|21031|21169|Rosedell|Arroyo Seco JH|Saugus HS
Elder View|Dr|27403|27599|Santa Clarita|Arroyo Seco JH|Saugus HS
Eleanor|Cr|0|0|Mitchell|La Mesa JH|Golden Valley HS
Electra|Ct|18800|18823|Leona Cox|Sierra Vista JH|Canyon HS
Eleven|Ct|19528|19588|Valley View|La Mesa JH|Golden Valley HS
Elias|Av|27113|27251|Highlands|Arroyo Seco JH|Saugus HS
Eliot|Ct|25700|25841|Pico Cyn|Rancho Pico JH|West Ranch HS
Elizabeth|Wy|19701|19789|Rio Vista|La Mesa JH|Golden Valley HS
Elk|Av|29000|29099|Live Oak|Castaic MS|Castaic HS
Elk Ridge|Rd|27601|32233|Northlake Hills|Castaic MS|Castaic HS
Elkwood|Ln|27610|27760|Castaic Elem|Castaic MS|Castaic HS
Ellery|Wy|0|0|Mint Cyn|La Mesa JH|Golden Valley HS
Elliott|Ln|24300|24359|Peachland|Placerita JH|Hart HS
Ellis|Ct|28000|28033|Plum Cyn|Arroyo Seco JH|Saugus HS
Ellis Henry|Ct|19500|19839|Valley View|La Mesa JH|Golden Valley HS
Ellison|Wy|27212|27250|Helmers|Rio Norte JH|Valencia HS
Elm|Ct|28800|28851|Mountain View|Rio Norte JH|Valencia HS
Elm|Ln|31500|31561|Northlake Hills|Castaic MS|Castaic HS
Elm Glen|Cr|23000|23031|Santa Clarita|Arroyo Seco JH|Saugus HS
Elmwood|Ln|25614|25670|Oak Hills|Rancho Pico JH|West Ranch HS
Elsmere Cyn Motor|Wy|0|0|Mc Grath|La Mesa JH|Golden Valley HS
Elvira|Rd|30600|30659|Live Oak|Castaic MS|Castaic HS
Emerald|Ct|26101|26123|Oak Hills|Rancho Pico JH|West Ranch HS
Emerald|Ln|30036|32099|Northlake Hills|Castaic MS|Castaic HS
Emerald Creek|Dr|19730|20099|Cedarcreek|Sierra Vista JH|Canyon HS
Emerald Dove|Dr|26300|26549|Valencia Valley|Placerita JH|Hart HS
Emerson|Ln|25700|25851|Pico Cyn|Rancho Pico JH|West Ranch HS
Emmett|Rd|19800|19881|Rio Vista|La Mesa JH|Golden Valley HS
Empalmo|Ct|25854|25882|Meadows|Placerita JH|Hart HS
Empino|Ln|22100|22133|Highlands|Arroyo Seco JH|Saugus HS
Empress Oak|Ct|0|0|Fair Oaks|La Mesa JH|Golden Valley HS
Enderly|St|28200|28289|Skyblue Mesa|Sierra Vista JH|Canyon HS
Engineers|St|0|0|Live Oak|Castaic MS|Castaic HS
English Ivy|Ln|0|0|Fair Oaks|La Mesa JH|Golden Valley HS
English Oak|Ct|27300|27325|Fair Oaks|La Mesa JH|Golden Valley HS
English Rose|Pl|24200|24259|Bridgeport|Rio Norte JH|Valencia HS
Ennismore|Av|27600|27655|Canyon Springs|Sierra Vista JH|Canyon HS
Eos|Ln|18600|18606|Leona Cox|Sierra Vista JH|Canyon HS
Erato||0|0|Leona Cox|Sierra Vista JH|Canyon HS
Erik|Ct|18100|18151|Fair Oaks|La Mesa JH|Golden Valley HS
Ermine|Pl|28028|28054|Skyblue Mesa|Sierra Vista JH|Canyon HS
Ermine|St|18903|18921|Leona Cox|Sierra Vista JH|Canyon HS
Ermine|St|19503|20501|Skyblue Mesa|Sierra Vista JH|Canyon HS
Esperanza|Ln|0|0|Northpark|Rio Norte JH|Valencia HS
Espinoza|Dr|25801|25887|Valencia Valley|Placerita JH|Hart HS
Esplanada|Dr|0|0|Rio Norte JH|Valencia HS|Espuella
Dr||22300|22799|Emblem|Arroyo Seco JH|Saugus HS
Espuma|Dr|26800|26849|Emblem|Arroyo Seco JH|Saugus HS
Esquerra|Rd|18400|19100|Plum Cyn|Arroyo Seco JH|Saugus HS
Essex|Pl|27700|27721|Helmers|Rio Norte JH|Valencia HS
Estaban|Dr|25800|26099|Valencia Valley|Placerita JH|Hart HS
Esterbrook|Av|27502|27751|Cedarcreek|Sierra Vista JH|Canyon HS
Estoril|St|25600|25699|Meadows|Placerita JH|Hart HS
Estrella|Pl|23500|23552|Valencia Valley|Placerita JH|Hart HS
Eternal Valley Fire|Rd|0|0|Mc Grath|La Mesa JH|Golden Valley HS
Eucalyptus|Wy|21300|21319|Mc Grath|La Mesa JH|Golden Valley HS
Euclid|Av|29000|29099|Live Oak|Castaic MS|Castaic HS
Evan|Ln|27404|27405|Fair Oaks|La Mesa JH|Golden Valley HS
Evans|Av|23796|23849|Peachland|Placerita JH|Hart HS
Evans|Av|23924|24175|Wiley Cyn|Rancho Pico JH|West Ranch HS
Evans|Ct|28500|28549|Live Oak|Castaic MS|Castaic HS
Evening Side|Dr|29000|29129|Live Oak|Castaic MS|Castaic HS
Evening Star|Ct|22206|22241|Santa Clarita|Rio Norte JH|Valencia HS
Eveningshade|Av|27502|27829|Cedarcreek|Sierra Vista JH|Canyon HS
Everett|Dr|23900|23914|Old Orchard|Placerita JH|Hart HS
Everett|Dr|24950|25265|Wiley Cyn|Rancho Pico JH|West Ranch HS
Everglades|Ct|14200|14268|Sulphur Springs|Sierra Vista JH|Canyon HS
Evergreen|Ln|28200|28454|Mountain View|Rio Norte JH|Valencia HS
Evi|Ln|26739|27810|Fair Oaks|La Mesa JH|Golden Valley HS
Evron|Av|27400|27546|Cedarcreek|Sierra Vista JH|Canyon HS
Fahren|Ct|27300|27379|Valley View|La Mesa JH|Golden Valley HS
Fain|Dr|24700|24749|Wiley Cyn|Rancho Pico JH|West Ranch HS
Fairbanks|Ct|16300|16328|Mint Cyn|La Mesa JH|Golden Valley HS
Fairgate - All Numbers|Av|26448|26456|Golden Oak|La Mesa JH|Golden Valley HS
Fairgate - Even Numbers|Av|26316|26442|Golden Oak|La Mesa JH|Golden Valley HS
Fairgate - Even Numbers|Av|26500|26536|Golden Oak|La Mesa JH|Golden Valley HS
Fairgate - Odd Numbers|Av|26313|26441|Valley View|La Mesa JH|Golden Valley HS
Fairgate - Odd Numbers|Av|26501|26537|Valley View|La Mesa JH|Golden Valley HS
Fairglade|St|16503|16531|Mitchell|Sierra Vista JH|Canyon HS
Fairhaven|Ct|23400|23421|Northpark|Rio Norte JH|Valencia HS
Fairlain|Dr|26800|26820|Bridgeport|Rancho Pico JH|West Ranch HS
Fairport|Av|27400|27553|Cedarcreek|Sierra Vista JH|Canyon HS
Fairview|Dr|0|0|Bridgeport|Rio Norte JH|Valencia HS
Fairview|Dr|0|0|Helmers|Rio Norte JH|Valencia HS
Fairway|Cr|26464|26499|Valley View|La Mesa JH|Golden Valley HS
Fairway|Dr|0|0|Bridgeport|Rancho Pico JH|West Ranch HS
Fairway|Ln|27000|27065|Oak Hills|Rancho Pico JH|West Ranch HS
Fairweather|St|18500|19202|Leona Cox|Sierra Vista JH|Canyon HS
Fairweather|St|19301|19643|Cedarcreek|Sierra Vista JH|Canyon HS
Fairweather|St|20100|20442|Rio Vista|La Mesa JH|Golden Valley HS
Fairweather|St|27702|27720|Leona Cox|Sierra Vista JH|Canyon HS
Faisan|Ct|23200|23243|Meadows|Placerita JH|Hart HS
Falcon Crest|Dr|28304|28381|Leona Cox|Sierra Vista JH|Canyon HS
Falcon Crest|Dr|28382|28499|Skyblue Mesa|Sierra Vista JH|Canyon HS
Falcon Crest|Pl|23600|23739|Northpark|Rio Norte JH|Valencia HS
Falconrim|Dr|15800|15899|Sulphur Springs|Sierra Vista JH|Canyon HS
Fall Cyn Truck|Trl|0|0|Mint Cyn|La Mesa JH|Golden Valley HS
Fallen Oak|Ct|26600|26649|Oak Hills|Rancho Pico JH|West Ranch HS
Falling Star|Ln|27503|27599|Highlands|Arroyo Seco JH|Saugus HS
Falls|Dr|30350|30399|Castaic Elem|Castaic MS|Castaic HS
Falter|St|16850|17099|Sulphur Springs|Sierra Vista JH|Canyon HS
Fambrough|St|23500|23952|Wiley Cyn|Rancho Pico JH|West Ranch HS
Fan|Ct|20600|20619|Bouquet Cyn|Arroyo Seco JH|Saugus HS
Fanchon|Ln|20210|20344|Rio Vista|La Mesa JH|Golden Valley HS
Fantastic|Ln|27400|27699|Northlake Hills|Castaic MS|Castaic HS
Far Hills|Rd|18237|18331|Plum Cyn|Arroyo Seco JH|Saugus HS
Farm Center|Rd|0|0|Live Oak|Castaic MS|Castaic HS
Farmington|Ln|21600|21655|Rosedell|Arroyo Seco JH|Saugus HS
Farnham|Ct|15803|15815|Mint Cyn|Sierra Vista JH|Canyon HS
Farrell|Rd|0|0|Plum Cyn|Arroyo Seco JH|Saugus HS
Farrow|Dr|24500|24653|Old Orchard|Placerita JH|Hart HS
Faryn|Ct|28500|28549|Plum Cyn|Arroyo Seco JH|Saugus HS
Faulkner|Dr|26132|26389|Stevenson Ranch|Rancho Pico JH|West Ranch HS
Favoloso|Ct|25201|25237|Pico Cyn|Rancho Pico JH|West Ranch HS
Featherstar|Av|27800|27971|Rosedell|Arroyo Seco JH|Saugus HS
Fedala|Rd|25440|25699|Meadows|Placerita JH|Hart HS
Feedmill|Rd|26930|27031|Entrada|Rancho Pico JH|West Ranch HS
Felbridge|St|18813|19039|Leona Cox|Sierra Vista JH|Canyon HS
Fenda|Wy|25851|25897|Meadows|Placerita JH|Hart HS
Fenwall|Dr|22545|22669|Foster|Arroyo Seco JH|Saugus HS
Fenway|Ct|29402|29420|Live Oak|Castaic MS|Castaic HS
Ferguson|Dr|27700|27881|Northlake Hills|Castaic MS|Castaic HS
Fern|Dr|0|0|Mc Grath|La Mesa JH|Golden Valley HS
Fern Ridge|Ct|0|0|Northpark|Rio Norte JH|Valencia HS
Ferry|Ln|0|0|Emblem|La Mesa JH|Golden Valley HS
Festividad|Dr|22200|22699|Emblem|Arroyo Seco JH|Saugus HS
Festividad|Dr|22700|22799|Santa Clarita|Arroyo Seco JH|Saugus HS
Ficus|Dr|21100|21499|Mc Grath|La Mesa JH|Golden Valley HS
Fieldwood|Ct|27200|27249|Fair Oaks|La Mesa JH|Golden Valley HS
Fig|Ct|28402|28428|Mountain View|Rio Norte JH|Valencia HS
Figueroa|St|30300|30351|Live Oak|Castaic MS|Castaic HS
Finch|Ct|0|0|Emblem|La Mesa JH|Golden Valley HS
Fir|Ct|22800|22829|Mountain View|Rio Norte JH|Valencia HS
Firebrand|Dr|27601|27991|Live Oak|Castaic MS|Castaic HS
Firenze|Ct|24401|24436|Valencia Valley|Placerita JH|Hart HS
Fireworks|Rd|0|0|Emblem|La Mesa JH|Golden Valley HS
Fitch|Av|17066|29949|Mint Cyn|La Mesa JH|Golden Valley HS
Fitzgerald|Av|25342|25566|Pico Cyn|Rancho Pico JH|West Ranch HS
Flare|Rd|0|0|Newhall|Placerita JH|Hart HS
Flatwater|Ct|0|0|Emblem|Arroyo Seco JH|Saugus HS
Flax|Dr|0|0|Mc Grath|La Mesa JH|Golden Valley HS
Flaxwood|Ln|24400|24449|Mc Grath|La Mesa JH|Golden Valley HS
Flemming|Pl|25800|25849|Stevenson Ranch|Rancho Pico JH|West Ranch HS
Flintwood|Ct|28500|28519|Skyblue Mesa|Sierra Vista JH|Canyon HS
Flo|Ln|26902|26974|Rio Vista|La Mesa JH|Golden Valley HS
Florabunda|Rd|29100|29685|Sulphur Springs|Sierra Vista JH|Canyon HS
Floral|Ct|25700|25746|Valencia Valley|Placerita JH|Hart HS
Florence|Ln|28002|28176|Skyblue Mesa|Sierra Vista JH|Canyon HS
Flower Fields|Av|22700|22719|Newhall|Placerita JH|Hart HS
Flowering Oak|Pl|26900|26949|Fair Oaks|La Mesa JH|Golden Valley HS
Flowerpark|Dr|28800|29299|Pinetree|Sierra Vista JH|Canyon HS
Flowers|Ct|19300|19414|Valley View|La Mesa JH|Golden Valley HS
Flying Tiger|Dr|18701|19701|Valley View|La Mesa JH|Golden Valley HS
Flynn|Dr|18000|18299|Fair Oaks|La Mesa JH|Golden Valley HS
Foothill|Rd|28200|28349|Castaic Elem|Castaic MS|Castaic HS
Ford|Ct|0|0|Castaic Elem|Castaic MS|Castaic HS
Forest Meadow|Pl|28502|28799|Northlake Hills|Castaic MS|Castaic HS
Forest View|Ct|23700|23799|Northpark|Rio Norte JH|Valencia HS
Fork||0|0|Newhall|Placerita JH|Hart HS
Forrest|St|16400|17199|Mint Cyn|La Mesa JH|Golden Valley HS
Forst|Ct|28000|28049|Castaic Elem|Castaic MS|Castaic HS
Forster|Wy|26100|26135|Stevenson Ranch|Rancho Pico JH|West Ranch HS
Forsythe|Wy|25800|25856|Stevenson Ranch|Rancho Pico JH|West Ranch HS
Fortuna|Dr|25350|25440|Old Orchard|Placerita JH|Hart HS
Fountain Glen|Ct|25500|25560|Pico Cyn|Rancho Pico JH|West Ranch HS
Four Oaks|St|19100|19699|Cedarcreek|Sierra Vista JH|Canyon HS
Fourl|Rd|24115|25265|Wiley Cyn|Rancho Pico JH|West Ranch HS
Fox Run|Cr|28000|28099|Northlake Hills|Castaic MS|Castaic HS
Foxglove|Ct|19651|19664|Valley View|La Mesa JH|Golden Valley HS
Foxglove|Pl|24300|24340|Bridgeport|Rio Norte JH|Valencia HS
Foxlane|Dr|27703|28281|Leona Cox|Sierra Vista JH|Canyon HS
Foxtail|Ct|25000|25015|Wiley Cyn|Rancho Pico JH|West Ranch HS
Foxwood|Ct|23800|23849|Northpark|Rio Norte JH|Valencia HS
Francisco|Wy|23900|23976|Tesoro Del Valle|Rio Norte JH|Valencia HS
Franklin|Ln|25900|26039|Pico Cyn|Rancho Pico JH|West Ranch HS
Franklin|Pkwy|0|0|Live Oak|Castaic MS|Castaic HS
Franks|Wy|19901|20023|Plum Cyn|Arroyo Seco JH|Saugus HS
Franwood|Dr|20730|20942|Bouquet Cyn|Arroyo Seco JH|Saugus HS
Fremont|Ct|27820|27850|Live Oak|Castaic MS|Castaic HS
Friendly Valley|Pkwy|19100|26499|Valley View|La Mesa JH|Golden Valley HS
Frisca|Dr|22830|23154|Santa Clarita|Arroyo Seco JH|Saugus HS
Fritz|Wy|21750|21779|Emblem|Rio Norte JH|Valencia HS
Frost|Ln|25600|25679|Pico Cyn|Rancho Pico JH|West Ranch HS
Fuji|Ct|29100|29129|Sulphur Springs|Sierra Vista JH|Canyon HS
Furnivall|Av|26800|27151|Rio Vista|La Mesa JH|Golden Valley HS
Fushia|Ct|24152|24164|Bridgeport|Rio Norte JH|Valencia HS
Gable Ranch|Ln|24400|24499|Tesoro Del Valle|Rio Norte JH|Valencia HS
Gabrial|Pl|28604|28631|Emblem|Rio Norte JH|Valencia HS
Gaff|Ct|21500|21555|Rosedell|Arroyo Seco JH|Saugus HS
Gailxy|Av|0|0|Mitchell|Sierra Vista JH|Canyon HS
Gaines|Wy|0|0|Plum Cyn|Arroyo Seco JH|Saugus HS
Galante|Wy|25850|25887|Meadows|Placerita JH|Hart HS
Galaxy|Wy|0|0|West Creek|Rio Norte JH|Valencia HS
Galbreth|Ct|30100|30159|Live Oak|Castaic MS|Castaic HS
Gale|Dr|25602|25688|Pico Cyn|Rancho Pico JH|West Ranch HS
Galeton|Rd|27819|27877|Mitchell|Sierra Vista JH|Canyon HS
